,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,type,S
0,SPY260213C00500000,2026-01-02 15:40:55+00:00,500.0,187.89,194.59,197.84,0.0,0.0,2.0,2.0,0.6243934045410158,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
1,SPY260213C00505000,2026-01-05 14:56:24+00:00,505.0,184.67,189.62,192.87,0.0,0.0,2.0,2.0,0.6103554589843752,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
2,SPY260213C00550000,2026-01-07 15:37:45+00:00,550.0,144.99,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
3,SPY260213C00565000,2026-01-07 16:17:59+00:00,565.0,130.45,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
4,SPY260213C00580000,2026-01-08 15:50:24+00:00,580.0,112.26,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
5,SPY260213C00585000,2026-01-09 15:13:03+00:00,585.0,108.7,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
6,SPY260213C00590000,2026-01-08 15:50:17+00:00,590.0,102.35,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
7,SPY260213C00595000,2026-01-09 14:50:31+00:00,595.0,99.13,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
8,SPY260213C00615000,2026-01-05 18:00:56+00:00,615.0,77.44,80.74,83.99,0.0,0.0,,1.0,0.3580386462402344,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
9,SPY260213C00620000,2026-01-09 14:53:53+00:00,620.0,75.2,75.85,79.1,-0.8800049,-1.1566836,4.0,17.0,0.3435429415893554,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
10,SPY260213C00625000,2026-01-05 15:23:43+00:00,625.0,67.21,70.98,74.23,0.0,0.0,3.0,6.0,0.32926085784912107,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
11,SPY260213C00630000,2026-01-09 14:53:34+00:00,630.0,65.26,66.13,69.37,2.8100014,4.499602,2.0,1.0,0.3149177395629882,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
12,SPY260213C00640000,2026-01-08 20:26:40+00:00,640.0,53.92,56.5,59.75,0.0,0.0,36.0,44.0,0.28729960754394523,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
13,SPY260213C00645000,2026-01-09 17:30:21+00:00,645.0,53.52,51.74,54.99,2.0699997,4.023323,6.0,16.0,0.27374993835449213,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
14,SPY260213C00650000,2026-01-09 18:26:45+00:00,650.0,49.56,48.26,50.27,4.5300026,10.059966,9.0,645.0,0.2603833728027344,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
15,SPY260213C00655000,2026-01-09 16:55:33+00:00,655.0,44.38,42.36,45.61,4.380001,10.950003,3.0,39.0,0.24738301452636718,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
16,SPY260213C00659000,2026-01-09 15:49:39+00:00,659.0,38.11,38.67,41.93,2.5499992,7.170976,2.0,7.0,0.2371902453613281,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
17,SPY260213C00660000,2026-01-09 18:26:45+00:00,660.0,39.78,37.76,41.02,4.3999977,12.4363985,3.0,13.0,0.23471834625244142,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
18,SPY260213C00661000,2026-01-07 15:01:16+00:00,661.0,37.42,36.85,40.11,0.0,0.0,2.0,23.0,0.23218541259765624,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
19,SPY260213C00662000,2026-01-05 14:50:29+00:00,662.0,32.37,35.95,39.21,0.0,0.0,4.0,11.0,0.22977454803466796,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
20,SPY260213C00663000,2026-01-07 20:27:16+00:00,663.0,35.14,35.04,38.3,1.0,2.9291155,,2.0,0.22718057983398435,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
21,SPY260213C00664000,2026-01-09 14:48:26+00:00,664.0,33.57,34.15,37.41,2.8799992,9.384161,2.0,2.0,0.2248307498168945,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
22,SPY260213C00665000,2026-01-07 17:30:55+00:00,665.0,35.1,33.25,36.52,0.0,0.0,2.0,20.0,0.22245040252685544,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
23,SPY260213C00667000,2026-01-08 16:19:25+00:00,667.0,29.21,31.48,34.74,0.0,0.0,1.0,21.0,0.21750660430908203,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
24,SPY260213C00668000,2026-01-06 20:58:50+00:00,668.0,30.76,30.6,33.86,-0.34000015,-1.0932481,1.0,12.0,0.21509573974609375,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
25,SPY260213C00669000,2026-01-05 15:19:40+00:00,669.0,27.18,29.72,32.98,0.0,0.0,,2.0,0.21265435791015624,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
26,SPY260213C00670000,2026-01-09 20:06:53+00:00,670.0,31.01,28.85,32.11,3.4899998,12.681685,3.0,30.0,0.21030452789306642,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
27,SPY260213C00671000,2026-01-08 21:04:58+00:00,671.0,26.55,29.35,29.64,0.0,0.0,2.0,36.0,0.18473105316162108,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
28,SPY260213C00673000,2026-01-09 15:38:05+00:00,673.0,27.24,26.77,28.76,0.19999886,0.7396407,1.0,11.0,0.19248244049072266,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
29,SPY260213C00674000,2026-01-09 16:18:56+00:00,674.0,26.78,25.92,27.91,0.6000004,2.2918272,1.0,1.0,0.1902851968383789,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
30,SPY260213C00675000,2026-01-09 20:28:33+00:00,675.0,27.19,25.07,26.46,2.7000008,11.024912,14.0,16.0,0.17966518585205077,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
31,SPY260213C00677000,2026-01-05 14:40:29+00:00,677.0,20.28,23.4,25.43,0.0,0.0,,2.0,0.18415122497558595,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
32,SPY260213C00678000,2026-01-09 18:18:30+00:00,678.0,23.6,22.57,24.61,4.0699997,20.839731,4.0,15.0,0.18204553314208982,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
33,SPY260213C00679000,2026-01-09 20:23:21+00:00,679.0,23.95,21.76,23.8,4.7400017,24.674658,7.0,9.0,0.1800008758544922,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
34,SPY260213C00680000,2026-01-09 19:15:16+00:00,680.0,22.35,21.84,22.12,2.75,14.030611,15.0,90.0,0.16639017211914067,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
35,SPY260213C00681000,2026-01-09 18:52:43+00:00,681.0,21.77,21.04,21.34,1.0900002,5.2707934,7.0,51.0,0.16465068756103518,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
36,SPY260213C00682000,2026-01-08 20:37:02+00:00,682.0,18.17,20.26,20.66,0.0,0.0,1.0,163.0,0.16410137664794922,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
37,SPY260213C00683000,2026-01-09 17:18:47+00:00,683.0,19.67,19.48,19.88,2.8400002,16.87463,2.0,126.0,0.16216352981567383,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
38,SPY260213C00684000,2026-01-09 18:28:08+00:00,684.0,18.66,18.71,19.11,0.289999,1.5786555,4.0,46.0,0.16022568298339845,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
39,SPY260213C00685000,2026-01-09 20:39:36+00:00,685.0,18.38,17.96,18.21,2.6699991,16.995539,358.0,310.0,0.15656361022949222,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
40,SPY260213C00686000,2026-01-09 19:31:32+00:00,686.0,18.15,17.2,17.64,3.46,23.553438,5.0,133.0,0.15692981750488283,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
41,SPY260213C00687000,2026-01-09 20:26:31+00:00,687.0,17.61,16.46,16.9,3.4800005,24.628452,1.0,184.0,0.1550377465820313,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
42,SPY260213C00688000,2026-01-09 19:17:05+00:00,688.0,16.55,14.81,16.79,2.789999,20.276155,42.0,692.0,0.1607749938964844,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
43,SPY260213C00689000,2026-01-09 20:33:45+00:00,689.0,15.96,15.04,15.28,2.7799997,21.092562,136.0,805.0,0.14914791290283202,True,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
